Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;21-3-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-3-2023
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;australia;13-3-2023
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;united states;8-3-2023
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;australia;24-2-2023
alert;aflatoxin;mycotoxin > aflatoxin;italy;20-2-2023
alert;aflatoxin;mycotoxin > aflatoxin;italy;20-2-2023
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;15-2-2023
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-2-2023
alert;aflatoxin;mycotoxin > aflatoxin;italy;14-2-2023
alert;aflatoxin;mycotoxin > aflatoxin;italy;14-2-2023
alert;aflatoxin;mycotoxin > aflatoxin;italy;14-2-2023
alert;aflatoxin;mycotoxin > aflatoxin;italy;14-2-2023
alert;milk and products thereof, soybeans and products thereof;milk and products thereof, soybeans and products thereof;united states;8-2-2023
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;united states;7-2-2023
alert;milk and products thereof;milk and products thereof;united states;24-1-2023
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1;united states;24-1-2023
alert;labelling/misdescription, other packaging issues;labelling/misdescription;united states;10-1-2023
alert;pest;pest;spain;4-1-2023
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;australia;28-12-2022
alert;soybeans and products thereof;soybeans and products thereof;italy;21-12-2022
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;14-12-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;9-12-2022
alert;hazelnut;nuts > hazelnut;netherlands;2-12-2022
alert;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;italy;30-11-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;30-11-2022
border rejection;parasits;pathogen > parasits;united states;22-11-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;4-11-2022
border rejection;aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;spain;31-10-2022
alert;high content of cyanide;composition > high content of cyanide;italy;19-10-2022
alert;metal fragment;metal fragment;spain;18-10-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;luxembourg;14-10-2022
alert;metal fragment;metal fragment;spain;14-10-2022
alert;metal fragment;metal fragment;spain;13-10-2022
alert;metal fragment;metal fragment;spain;13-10-2022
alert;peanuts and products thereof, almond;peanuts and products thereof, nuts > almond;united states;21-9-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;13-9-2022
alert;aflatoxin;mycotoxin > aflatoxin;austria, spain;9-9-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;8-9-2022
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;malaysia;5-9-2022
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;23-8-2022
border rejection;insects;insects;united states;22-8-2022
alert;salmonella;pathogen > pathogenic bacteria > salmonella;united states;18-8-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;17-8-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;2-8-2022
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;25-7-2022
border rejection;aflatoxin b1, aflatoxin g1;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin g1;united states;25-7-2022
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;15-7-2022
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;12-7-2022
border rejection;dichlorvos;pesticides > organophosphate > dichlorvos;united states;6-7-2022
border rejection;dichlorvos;pesticides > organophosphate > dichlorvos;united states;30-6-2022
alert;peanuts and products thereof;peanuts and products thereof;spain;6-6-2022
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;6-6-2022
alert;foreign bodies;;united states;6-6-2022
border rejection;aflatoxin, aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;30-5-2022
border rejection;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;united states;30-5-2022
alert;foreign bodies;;united states;19-5-2022
border rejection;aflatoxin, aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;18-5-2022
alert;peanuts and products thereof;peanuts and products thereof;united states;11-5-2022
alert;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;germany;10-5-2022
alert;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;spain;6-5-2022
alert;peanuts and products thereof;peanuts and products thereof;united states;5-5-2022
alert;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;belgium, spain;4-5-2022
border rejection;aflatoxin, aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;28-4-2022
border rejection;piperonyl butoxide;pesticides > piperonyl butoxide;united states;27-4-2022
alert;aflatoxin, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1;italy;23-4-2022
border rejection;aflatoxin, aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;15-4-2022
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;31-3-2022
alert;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;italy;21-3-2022
border rejection;aflatoxin, aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;united states;16-3-2022
border rejection;aflatoxin;mycotoxin > aflatoxin;spain;14-2-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;germany;11-2-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;germany;10-2-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;germany;10-2-2022
alert;high content of cyanide;composition > high content of cyanide;germany;7-2-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;germany;4-2-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;germany;4-2-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;germany;4-2-2022
alert;hydrocyanic acid;chemical compound (high content) > hydrocyanic acid;germany;4-2-2022
alert;salmonella;pathogen > pathogenic bacteria > salmonella;germany;31-1-2022
alert;milk and products thereof;milk and products thereof;australia;17-1-2022
border rejection;aflatoxin, aflatoxin b1, aflatoxin b2, aflatoxin g1, aflatoxin g2;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin g1, mycotoxin > aflatoxin > aflatoxin g2;united states;15-12-2021
border rejection;aflatoxin, aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;spain;7-12-2021
border rejection;aflatoxin, aflatoxin b2, aflatoxin b1;mycotoxin > aflatoxin, mycotoxin > aflatoxin > aflatoxin b2, mycotoxin > aflatoxin > aflatoxin b1;united states;6-12-2021
alert;peanuts and products thereof;peanuts and products thereof;united states;17-11-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;9-11-2021
alert;milk and products thereof;milk and products thereof;united states;22-10-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;21-10-2021
alert;risk of breakage;damaged packaging > risk of breakage;germany;21-9-2021
alert;aflatoxin;mycotoxin > aflatoxin;germany;8-9-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;6-9-2021
alert;foreign bodies;;sweden;30-8-2021
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);united states;18-8-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;16-8-2021
alert;aflatoxin;mycotoxin > aflatoxin;germany;12-8-2021
alert;aflatoxin;mycotoxin > aflatoxin;germany;11-8-2021
alert;aflatoxin;mycotoxin > aflatoxin;spain;6-8-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;4-8-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;3-8-2021
alert;clostridium botulinum;pathogen > pathogenic bacteria > clostridium > clostridium botulinum;germany;16-7-2021
alert;allergens;;italy;14-7-2021
alert;allergens;;italy;14-7-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;12-7-2021
alert;clostridium botulinum;pathogen > pathogenic bacteria > clostridium > clostridium botulinum;germany;9-7-2021
alert;peanuts and products thereof;peanuts and products thereof;united states;9-7-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;30-6-2021
border rejection;allergens, insufficient labelling/documentation, unauthorised colour, unauthorised ingredient (fraud);labelling/misdescription > insufficient labelling/documentation, unauthorised colour, unauthorised ingredient (fraud);colombia;24-6-2021
border rejection;allergens, insufficient labelling/documentation, unauthorised colour, unauthorised ingredient (fraud);labelling/misdescription > insufficient labelling/documentation, unauthorised colour, unauthorised ingredient (fraud);colombia;24-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;24-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;24-6-2021
alert;peanuts and products thereof;peanuts and products thereof;netherlands;15-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;2-6-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;31-5-2021
alert;peanuts and products thereof;peanuts and products thereof;luxembourg;27-5-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;24-5-2021
alert;peanuts and products thereof;peanuts and products thereof;netherlands;21-5-2021
alert notification;peanuts and products thereof;peanuts and products thereof;netherlands;21-5-2021
alert;peanuts and products thereof;peanuts and products thereof;united states;19-5-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;18-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;14-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;14-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;12-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;12-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;12-5-2021
alert;almond, cashew, peanuts and products thereof;nuts > almond, nuts > cashew, peanuts and products thereof;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;peanuts and products thereof;peanuts and products thereof;united states;7-5-2021
alert;cashew, peanuts and products thereof;nuts > cashew, peanuts and products thereof;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond, cashew, peanuts and products thereof;nuts > almond, nuts > cashew, peanuts and products thereof;canada;7-5-2021
alert;almond, cashew, peanuts and products thereof;nuts > almond, nuts > cashew, peanuts and products thereof;canada;7-5-2021
alert;almond, cashew, peanuts and products thereof;nuts > almond, nuts > cashew, peanuts and products thereof;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond, cashew, peanuts and products thereof;nuts > almond, nuts > cashew, peanuts and products thereof;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;almond;nuts > almond;canada;7-5-2021
alert;cashew;nuts > cashew;canada;7-5-2021
alert;cashew, peanuts and products thereof;nuts > cashew, peanuts and products thereof;canada;7-5-2021
alert;almond, cashew, peanuts and products thereof;nuts > almond, nuts > cashew, peanuts and products thereof;canada;7-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;united states;6-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;6-5-2021
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;australia;6-5-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;28-4-2021
alert;nuts;nuts;canada;13-4-2021
alert;cashew, hazelnut;nuts > cashew, nuts > hazelnut;canada;9-4-2021
alert;high content of cyanide;composition > high content of cyanide;canada;9-4-2021
alert;peanuts and products thereof;peanuts and products thereof;canada;2-4-2021
alert;peanuts and products thereof;peanuts and products thereof;canada;2-4-2021
alert;peanuts and products thereof;peanuts and products thereof;canada;2-4-2021
alert;mislabelled;labelling/misdescription > mislabelled;united states;23-3-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;23-3-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;spain;23-3-2021
food;aflatoxin;mycotoxin > aflatoxin;united states;18-3-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;12-3-2021
alert;toxin;toxin;germany;6-3-2021
alert;cashew;nuts > cashew;canada;27-2-2021
alert;cashew;nuts > cashew;canada;27-2-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;12-2-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;12-2-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;12-2-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;12-2-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;4-2-2021
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;4-2-2021
food;aflatoxin;mycotoxin > aflatoxin;united states;13-1-2021
