Incident Type;Hazards;Hazard Paths;Origins;Date
border rejection;permethrin;pesticides > pyrethroid > permethrin;mexico;28-2-2024
border rejection;pesticides;pesticides;mexico;23-2-2024
border rejection;methamidophos;pesticides > organophosphate > methamidophos;china;21-2-2024
border rejection;pesticides;pesticides;japan;19-2-2024
border rejection;pesticides;pesticides;japan;19-2-2024
border rejection;pesticides;pesticides;canada;13-2-2024
border rejection;pesticides;pesticides;japan;4-2-2024
border rejection;pesticides;pesticides;japan;3-2-2024
border rejection;pesticides;pesticides;japan;30-1-2024
border rejection;pesticides;pesticides;japan;30-1-2024
border rejection;pesticides;pesticides;japan;27-1-2024
border rejection;pesticides;pesticides;japan;25-1-2024
border rejection;pesticides;pesticides;japan;23-1-2024
border rejection;pesticides;pesticides;japan;23-1-2024
border rejection;pesticides;pesticides;japan;23-1-2024
border rejection;pesticides;pesticides;japan;23-1-2024
border rejection;pesticides;pesticides;canada;22-1-2024
border rejection;pesticides;pesticides;japan;22-1-2024
border rejection;pesticides;pesticides;canada;22-1-2024
border rejection;pesticides;pesticides;japan;20-1-2024
border rejection;chlorpyrifos, chlorfenapyr, propargite;pesticides > organophosphate > chlorpyrifos, pesticides > pyrrole > chlorfenapyr, pesticides > sulphite ester > propargite;canada;18-1-2024
border rejection;chlorfenapyr, propargite;pesticides > pyrrole > chlorfenapyr, pesticides > sulphite ester > propargite;canada;18-1-2024
border rejection;pesticides;pesticides;japan;17-1-2024
border rejection;dichlorvos;pesticides > organophosphate > dichlorvos;china;16-1-2024
border rejection;pesticides;pesticides;japan;13-1-2024
border rejection;dichlorvos, isoprocarb;pesticides > organophosphate > dichlorvos, pesticides > carbamate > isoprocarb;china;8-1-2024
border rejection;dichlorvos, isoprocarb;pesticides > organophosphate > dichlorvos, pesticides > carbamate > isoprocarb;china;8-1-2024
border rejection;pesticides;pesticides;chile;5-1-2024
border rejection;pesticides;pesticides;chile;5-1-2024
border rejection;penconazole;pesticides > penconazole;chile;3-1-2024
border rejection;pesticides;pesticides;china;2-1-2024
border rejection;unauthorised use of colour e 102 - tartrazine;unauthorised use of colour e 102 - tartrazine;china;2-1-2024
border rejection;pesticides;pesticides;japan;30-12-2023
border rejection;pesticides;pesticides;japan;29-12-2023
border rejection;pesticides;pesticides;japan;29-12-2023
border rejection;radiation;radiation;china;27-12-2023
border rejection;pesticides;pesticides;japan;22-12-2023
border rejection;pesticides;pesticides;japan;21-12-2023
border rejection;pesticides;pesticides;japan;19-12-2023
border rejection;pesticides;pesticides;japan;19-12-2023
border rejection;pesticides;pesticides;japan;18-12-2023
border rejection;pesticides;pesticides;south korea;14-12-2023
border rejection;pesticides;pesticides;japan;13-12-2023
border rejection;pesticides;pesticides;japan;13-12-2023
alert;dimethoate, omethoate;pesticides > organophosphate > dimethoate, pesticides > organophosphate > omethoate;egypt;13-12-2023
border rejection;pesticides;pesticides;japan;12-12-2023
border rejection;pesticides;pesticides;japan;6-12-2023
alert;dimethoate, imidacloprid;pesticides > organophosphate > dimethoate, pesticides > neonicotinoid > imidacloprid;egypt;4-12-2023
border rejection;pesticides;pesticides;japan;2-12-2023
border rejection;pesticides;pesticides;japan;2-12-2023
border rejection;pesticides;pesticides;canada;1-12-2023
border rejection;pesticides;pesticides;canada;1-12-2023
border rejection;pesticides;pesticides;canada;1-12-2023
alert;spinosad;spinosad;germany;27-11-2023
alert;methomyl;pesticides > carbamate > methomyl;egypt;23-11-2023
border rejection;pesticides;pesticides;turkey;9-11-2023
border rejection;pesticides;pesticides;turkey;9-11-2023
border rejection;penconazole, thiacloprid, kresoxim-methyl, profenofos;pesticides > penconazole, pesticides > neonicotinoid > thiacloprid, pesticides > kresoxim-methyl, pesticides > organophosphate > profenofos;turkey;12-10-2023
border rejection;penconazole, thiacloprid, kresoxim-methyl, profenofos;pesticides > penconazole, pesticides > neonicotinoid > thiacloprid, pesticides > kresoxim-methyl, pesticides > organophosphate > profenofos;turkey;12-10-2023
border rejection;pesticides;pesticides;canada;18-9-2023
border rejection;pesticides;pesticides;canada;13-9-2023
border rejection;pesticides;pesticides;canada;13-9-2023
border rejection;pesticides;pesticides;canada;13-9-2023
border rejection;pesticides;pesticides;canada;16-8-2023
border rejection;pesticides;pesticides;canada;16-8-2023
border rejection;pesticides;pesticides;turkey;9-8-2023
border rejection;pesticides;pesticides;turkey;9-8-2023
border rejection;pesticides;pesticides;turkey;9-8-2023
border rejection;pesticides;pesticides;turkey;9-8-2023
border rejection;pesticides;pesticides;turkey;9-8-2023
border rejection;pesticides;pesticides;turkey;9-8-2023
alert;lambda-cyhalothrin;pesticides > pyrethroid > lambda-cyhalothrin;france;28-7-2023
border rejection;pesticides;pesticides;canada;24-7-2023
border rejection;pesticides;pesticides;canada;24-7-2023
border rejection;pesticides;pesticides;canada;24-7-2023
border rejection;pesticides;pesticides;canada;21-7-2023
border rejection;pesticides;pesticides;canada;21-7-2023
border rejection;pesticides;pesticides;canada;19-7-2023
alert;milk and products thereof;milk and products thereof;united states;18-7-2023
border rejection;pesticides;pesticides;mexico;12-7-2023
border rejection;profenofos;pesticides > organophosphate > profenofos;mexico;10-7-2023
